Time,Temperature (C),Temperature (F),Is Day,Condition Text,Condition Icon,Condition Code,Wind MPH,Wind KPH,Wind Degree,Wind Direction,Pressure MB,Pressure IN,Precipitation MM,Precipitation IN,Snow CM,Humidity,Cloud,Feels Like (C),Feels Like (F),Wind Chill (C),Wind Chill (F),Heat Index (C),Heat Index (F),Dew Point (C),Dew Point (F),Will It Rain,Chance of Rain,Will It Snow,Chance of Snow,Visibility KM,Visibility Miles,Gust MPH,Gust KPH,UV,Solar Radiation,Diffuse Radiation
2024-02-23 00:00,5.5,41.9,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/night/353.png,1240,17.4,28.1,231,SW,1000.0,29.54,0.33,0.01,0.0,85,100,0.9,33.5,0.9,33.5,5.5,41.9,3.2,37.8,1,100,0,0,10.0,6.0,22.8,36.6,1.0,0.0,0.0
2024-02-23 01:00,4.8,40.6,0,Light rain shower,//cdn.weatherapi.com/weather/64x64/night/353.png,1240,17.7,28.4,226,SW,1001.0,29.57,0.32,0.01,0.0,87,100,-0.1,31.8,-0.1,31.8,4.8,40.6,2.9,37.2,1,100,0,0,10.0,6.0,23.1,37.2,1.0,0.0,0.0
2024-02-23 02:00,4.8,40.6,0,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/night/176.png,1063,15.7,25.2,233,SW,1001.0,29.57,0.13,0.01,0.0,83,76,0.2,32.3,0.2,32.3,4.8,40.6,2.1,35.8,1,100,0,0,10.0,6.0,20.7,33.3,1.0,0.0,0.0
2024-02-23 03:00,5.0,41.0,0,Moderate rain,//cdn.weatherapi.com/weather/64x64/night/302.png,1189,4.3,6.8,220,SW,1001.0,29.56,0.06,0.0,0.0,93,100,-0.4,31.3,-0.4,31.3,4.1,39.4,1.6,34.9,1,100,0,0,10.0,6.0,18.7,30.1,1.0,0.0,0.0
2024-02-23 04:00,3.7,38.7,0,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/night/176.png,1063,12.1,19.4,229,SW,1001.0,29.57,0.06,0.0,0.0,83,68,-0.5,31.2,-0.5,31.2,3.7,38.7,1.1,33.9,1,100,0,0,10.0,6.0,15.9,25.6,1.0,0.0,0.0
2024-02-23 05:00,3.3,37.9,0,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/night/176.png,1063,10.3,16.6,224,SW,1001.0,29.57,0.03,0.0,0.0,83,72,-0.6,30.9,-0.6,30.9,3.3,37.9,0.8,33.4,1,76,0,0,10.0,6.0,13.6,21.9,1.0,0.0,0.0
2024-02-23 06:00,2.7,36.8,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,7.8,12.6,210,SSW,1001.0,29.56,0.0,0.0,0.0,85,16,-0.7,30.8,-0.7,30.8,2.7,36.8,0.4,32.6,0,0,0,0,10.0,6.0,10.7,17.3,1.0,0.0,0.0
2024-02-23 07:00,2.1,35.8,0,Clear ,//cdn.weatherapi.com/weather/64x64/night/113.png,1000,8.5,13.7,200,SSW,1001.0,29.57,0.0,0.0,0.0,85,9,-1.6,29.1,-1.6,29.1,2.1,35.8,-0.1,31.8,0,0,0,0,10.0,6.0,12.1,19.5,1.0,0.0,0.0
2024-02-23 08:00,2.0,35.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,1000,7.8,12.6,197,SSW,1002.0,29.57,0.0,0.0,0.0,85,23,-1.5,29.3,-1.5,29.3,2.0,35.6,-0.2,31.6,0,0,0,0,10.0,6.0,11.1,17.9,2.0,10.94,4.86
2024-02-23 09:00,3.2,37.7,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,1063,9.2,14.8,206,SSW,1001.0,29.57,0.01,0.0,0.0,81,66,-0.5,31.2,-0.5,31.2,3.2,37.7,0.2,32.3,1,89,0,0,10.0,6.0,11.1,17.9,1.0,63.08,24.53
2024-02-23 10:00,4.0,39.2,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,1063,10.3,16.6,207,SSW,1001.0,29.57,0.02,0.0,0.0,76,100,0.3,32.5,0.3,32.5,4.0,39.2,0.1,32.2,1,71,0,0,10.0,6.0,11.8,19.0,1.0,96.9,40.59
2024-02-23 11:00,4.5,40.0,1,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/day/176.png,1063,11.0,17.6,213,SSW,1001.0,29.57,0.07,0.0,0.0,75,100,0.7,33.2,0.7,33.2,4.5,40.0,0.5,32.8,1,100,0,0,10.0,6.0,12.6,20.3,1.0,107.12,48.62
2024-02-23 12:00,4.5,40.1,1,Light sleet,//cdn.weatherapi.com/weather/64x64/day/317.png,1204,9.2,14.8,212,SSW,1002.0,29.58,0.26,0.01,0.0,81,100,1.2,34.1,1.2,34.1,4.5,40.1,1.4,34.6,1,100,0,0,9.0,5.0,10.6,17.0,1.0,103.09,48.84
2024-02-23 13:00,4.8,40.7,1,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,1153,8.7,14.0,221,SW,1001.0,29.57,0.32,0.01,0.0,78,100,1.7,35.1,1.7,35.1,4.8,40.7,1.3,34.4,1,100,0,0,2.0,1.0,10.0,16.2,1.0,100.1,48.82
2024-02-23 14:00,5.1,41.1,1,Light drizzle,//cdn.weatherapi.com/weather/64x64/day/266.png,1153,6.5,10.4,221,SW,1001.0,29.56,0.41,0.02,0.0,79,80,2.6,36.8,2.6,36.8,5.1,41.1,1.7,35.1,1,100,0,0,2.0,1.0,7.7,12.3,2.0,80.8,47.21
